title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,348888,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,838268,"AD, BA, BE, BG, CZ, DK, ES, FI, FR, HR, HU, MC, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK"
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,294850,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,125886,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1672984,"BA, BE, BG, CZ, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,949505,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,927549,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,112790,"DK, FI, NO, SE, US"
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,81294,"DK, FI, NO, SE, US"
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,111945,"DK, FI, NO, SE, US"
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,374760,"AD, DK, ES, FI, NO, PT, SE, US"
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,540667,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",2001,tt0120737,8.9,2057193,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",2002,tt0167261,8.8,1827754,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Lord of the Rings: The Return of the King",movie,"Action, Adventure, Drama",2003,tt0167260,9,2027365,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,393254,US
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,284814,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,129839,US
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2943222,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,632690,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,420622,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"The Interpreter",movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,111851,"FR, MC"
"The Good German",movie,"Drama, Mystery, Romance",2006,tt0452624,6,26284,PT
"A Clockwork Orange",movie,"Crime, Sci-Fi",1971,tt0066921,8.2,896098,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1109375,"AD, ES, PT"
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,121951,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"North by Northwest",movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,352443,"BE, FR, MC"
"East of Eden",movie,Drama,1955,tt0048028,7.8,49564,"BE, FR, MC"
"Rebel Without a Cause",movie,Drama,1955,tt0048545,7.6,99396,"BE, FR, MC"
"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,54832,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,135456,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2065001,"AD, ES, PT"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1394549,"AD, ES, PT"
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,431739,"AD, ES, PT"
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,232480,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,413124,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1612259,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
Fargo,movie,"Crime, Thriller",1996,tt0116282,8.1,739522,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Underworld,movie,"Action, Fantasy, Thriller",2003,tt0320691,7,289894,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2961822,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,617274,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,272456,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,372785,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Rio Bravo",movie,Western,1959,tt0053221,8,69564,"BE, FR, MC"
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,442966,"DK, FI, NO, SE"
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,127624,"AD, BE, ES, FR, MC, NL, PT"
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,494849,"AD, BE, ES, FR, MC, PT"
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146090,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1092355,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,451526,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK, US"
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346565,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK, US"
Magnolia,movie,Drama,1999,tt0175880,8,333395,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,154490,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,386132,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,485103,"AD, ES, PT, US"
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,334430,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,272279,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Rain Man",movie,Drama,1988,tt0095953,8,555453,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,404877,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Who's Afraid of Virginia Woolf?",movie,Drama,1966,tt0061184,8,81322,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"French Kiss",movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,54050,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,119251,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,270694,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,272217,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
8½,movie,Drama,1963,tt0056801,8,127191,US
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.3,436275,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36510,"AR, BA, BG, BO, BR, CL, CO, CR, CZ, DO, EC, GT, HN, HR, HU, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, US, UY, VE"
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86687,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.4,227238,"AD, BA, BE, BG, CZ, ES, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,122625,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1101579,"AD, ES"
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1444285,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PY, SV, TC, TT, UY, VE"
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,111802,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,55053,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,352863,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1092651,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PY, SV, TC, TT, UY, VE"
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,148769,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,382023,US
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,735354,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Crime of Padre Amaro",movie,"Drama, Romance",2002,tt0313196,6.7,14567,PT
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,901564,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,727947,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,653406,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,383523,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,472575,"BE, FR, MC"
"Rear Window",movie,"Mystery, Thriller",1954,tt0047396,8.5,533583,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,321123,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,209572,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Frenzy,movie,Thriller,1972,tt0068611,7.4,50399,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Man Who Knew Too Much",movie,"Drama, Thriller",1956,tt0049470,7.4,71267,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Wild Bunch",movie,"Action, Adventure, Drama",1969,tt0065214,7.9,91728,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,465770,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1312170,"AD, DK, ES, FI, NO, PT, SE"
"City of God",movie,"Crime, Drama",2002,tt0317248,8.6,817851,"AD, AR, BO, BR, CL, CO, CR, DO, EC, ES, FR, GT, HN, MC, MX, NI, PA, PE, PT, PY, SV, UY, VE"
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,806162,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2102529,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,641907,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,552521,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Men in Black",movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,626244,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Men in Black II",movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,411717,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Poltergeist,movie,"Horror, Thriller",1982,tt0084516,7.3,185391,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PY, SV, TC, TT, UY, VE"
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,480109,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,133857,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Bodyguard",movie,"Action, Drama, Music",1992,tt0103855,6.4,150991,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,462610,"BA, BE, BG, CZ, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,307700,"AD, DK, ES, FI, NO, PT, SE"
Trainspotting,movie,Drama,1996,tt0117951,8.1,737661,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Interview with the Vampire",movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,356218,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"The Wizard of Oz",movie,"Adventure, Family, Fantasy",1939,tt0032138,8.1,436810,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"When Harry Met Sally...",movie,"Comedy, Drama, Romance",1989,tt0098635,7.7,248609,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Troy,movie,"Adventure, Drama",2004,tt0332452,7.3,582002,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, GT, GY, HN, JM, LC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"On the Waterfront",movie,"Crime, Drama, Thriller",1954,tt0047296,8.1,168258,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.5,238292,"AR, BA, BG, BO, BR, CL, CO, CR, CZ, DO, EC, GT, HN, HR, HU, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, UY, VE"
Ben-Hur,movie,"Adventure, Drama",1959,tt0052618,8.1,257725,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
